aw	[(1051, 10), (1052, 8), (1053, 2), (1054, 1), (1056, 10), (1058, 11), (1065, 9), (1066, 4), (1073, 9), (1075, 5), (1084, 5), (1086, 8), (1087, 5), (1093, 13), (1098, 1), (1099, 4)]
submiss	[(1051, 3), (1052, 3), (1054, 6), (1056, 3), (1058, 2), (1060, 1), (1065, 2), (1066, 4), (1068, 4), (1073, 3), (1074, 1), (1075, 3), (1078, 1), (1079, 2), (1082, 1), (1084, 3), (1085, 2), (1086, 2), (1087, 3), (1091, 1), (1093, 4), (1095, 1), (1096, 2), (1099, 1), (1100, 1)]
demonstr	[(1051, 6.5), (1056, 6.5), (1058, 2), (1065, 4), (1066, 3), (1073, 4), (1075, 5.5), (1084, 5.5), (1086, 2), (1087, 5.5), (1093, 5.5), (1099, 5)]
grade	[(1051, 7), (1052, 5), (1054, 2), (1056, 7), (1057, 10), (1058, 3), (1060, 8), (1064, 22.5), (1065, 8), (1066, 5), (1068, 11.5), (1071, 7), (1072, 20), (1073, 7), (1074, 10), (1075, 4), (1076, 12), (1078, 8), (1079, 7), (1082, 10), (1084, 4), (1085, 2), (1086, 2), (1087, 3), (1089, 2), (1090, 22.5), (1091, 11.5), (1092, 1), (1093, 4), (1095, 10), (1096, 10), (1099, 6), (1100, 8)]
criteria	[(1051, 5), (1056, 5), (1058, 2), (1060, 1), (1065, 4), (1066, 4), (1073, 4), (1074, 1), (1075, 4), (1078, 1), (1082, 1), (1084, 4), (1086, 1), (1087, 3), (1091, 1), (1093, 4), (1095, 1), (1096, 1), (1099, 4), (1100, 1)]
if	[(1051, 16), (1052, 5), (1053, 2), (1054, 3), (1056, 16), (1057, 1), (1058, 13), (1060, 6), (1062, 11.5), (1063, 8), (1064, 7), (1065, 15), (1066, 7), (1068, 28), (1070, 7.5), (1072, 7), (1073, 14), (1074, 6), (1075, 12), (1076, 7), (1078, 6), (1079, 3), (1081, 6), (1082, 6), (1084, 12), (1086, 8), (1087, 14), (1088, 17), (1089, 2), (1090, 7), (1091, 6), (1092, 7), (1093, 12), (1095, 5), (1096, 6), (1099, 24), (1100, 5)]
you	[(1051, 54.5), (1052, 17), (1053, 2), (1054, 17), (1056, 54.5), (1057, 2), (1058, 42), (1060, 33), (1062, 18.5), (1063, 25), (1064, 33), (1065, 52), (1066, 21.5), (1068, 66.0), (1070, 14.5), (1072, 34), (1073, 54), (1074, 33), (1075, 30), (1076, 32), (1078, 33), (1079, 10), (1081, 13), (1082, 33), (1083, 1), (1084, 30), (1086, 28), (1087, 29), (1088, 31), (1089, 6), (1090, 33), (1091, 33), (1092, 11), (1093, 40), (1095, 33), (1096, 32), (1098, 1), (1099, 55), (1100, 33)]
chose	[(1051, 2), (1054, 1), (1056, 2), (1065, 1), (1066, 2), (1068, 1), (1073, 1), (1099, 1)]
a	[(1051, 69), (1052, 13), (1054, 51), (1056, 69), (1057, 3), (1058, 60), (1060, 33), (1062, 11.5), (1063, 36), (1064, 21), (1065, 68), (1066, 20), (1068, 92.0), (1070, 8), (1072, 23), (1073, 56), (1074, 38.5), (1075, 32), (1076, 21), (1078, 33), (1079, 10), (1081, 8), (1082, 38.5), (1084, 32), (1085, 3), (1086, 37), (1087, 43), (1088, 91), (1089, 39), (1090, 25), (1091, 35.5), (1092, 37), (1093, 65), (1094, 4), (1095, 38.5), (1096, 38.5), (1099, 70), (1100, 36)]
differ	[(1051, 4), (1053, 1), (1054, 1), (1055, 1), (1056, 4), (1058, 2), (1059, 1), (1060, 2), (1061, 1), (1062, 2), (1064, 2), (1065, 3), (1066, 2), (1067, 1), (1068, 1), (1069, 1), (1070, 2), (1072, 2), (1073, 3), (1074, 2), (1075, 2), (1076, 2), (1077, 1), (1078, 2), (1081, 2), (1082, 2), (1083, 1), (1084, 2), (1087, 2), (1088, 2), (1089, 1), (1090, 2), (1091, 2), (1092, 4), (1093, 2), (1094, 1), (1095, 2), (1096, 2), (1097, 1), (1098, 1), (1099, 2), (1100, 2)]
domain	[(1051, 3), (1052, 1), (1056, 3), (1058, 4), (1065, 2), (1066, 3), (1073, 2), (1093, 6), (1099, 2)]
get	[(1051, 5.5), (1052, 2), (1054, 5), (1056, 5.5), (1058, 7), (1060, 4), (1063, 4), (1064, 3), (1065, 3), (1066, 1), (1068, 2), (1072, 3), (1073, 4), (1074, 3), (1075, 3), (1076, 3), (1078, 4), (1082, 3), (1084, 3), (1086, 6), (1087, 2), (1088, 2), (1090, 3), (1091, 4), (1093, 6), (1095, 3), (1096, 3), (1099, 4), (1100, 3)]
api	[(1051, 8), (1056, 8), (1065, 6), (1068, 5), (1073, 6), (1079, 2), (1088, 1), (1099, 3)]
post	[(1051, 7.5), (1052, 1), (1056, 7.5), (1060, 2), (1063, 5), (1064, 2), (1065, 5), (1066, 3), (1068, 1), (1072, 2), (1073, 5), (1074, 2), (1076, 2), (1078, 2), (1079, 1), (1082, 2), (1090, 2), (1091, 2), (1095, 2), (1096, 2), (1099, 2), (1100, 2)]
follow	[(1051, 18), (1054, 8), (1056, 18), (1057, 1), (1058, 9), (1060, 2), (1063, 7), (1064, 2), (1065, 17), (1066, 5), (1068, 10), (1072, 2), (1073, 16), (1074, 1), (1075, 4), (1076, 2), (1078, 2), (1082, 1), (1083, 1), (1084, 4), (1085, 4), (1086, 13), (1087, 7), (1088, 4), (1089, 5), (1090, 2), (1091, 2), (1092, 4), (1093, 9), (1095, 1), (1096, 1), (1099, 15), (1100, 1)]
these	[(1051, 3), (1052, 2), (1054, 3), (1056, 3), (1058, 3), (1062, 2), (1063, 2), (1064, 4), (1065, 2), (1068, 4), (1070, 2), (1072, 4), (1073, 2), (1075, 1), (1076, 3), (1081, 2), (1084, 1), (1085, 1), (1086, 4), (1089, 1), (1090, 4), (1092, 1), (1093, 1), (1099, 1)]
when	[(1051, 7), (1054, 6), (1056, 7), (1058, 7), (1062, 2), (1063, 11), (1064, 1), (1065, 6), (1066, 6), (1068, 3), (1070, 2), (1072, 1), (1073, 6), (1075, 10), (1076, 1), (1081, 2), (1083, 1), (1084, 10), (1086, 3), (1087, 10), (1088, 9), (1089, 2), (1090, 1), (1092, 2), (1093, 8), (1099, 6)]
show	[(1051, 16), (1052, 1), (1053, 2), (1054, 4), (1055, 2), (1056, 16), (1058, 4), (1059, 2), (1061, 2), (1065, 15), (1066, 2), (1067, 2), (1069, 2), (1073, 15), (1075, 3), (1077, 2), (1083, 2), (1084, 3), (1086, 1), (1087, 4), (1089, 2), (1093, 4), (1094, 2), (1097, 2), (1098, 2), (1099, 5)]
the	[(1051, 223.0), (1052, 37), (1053, 8), (1054, 117), (1055, 2), (1056, 223.0), (1057, 17), (1058, 207), (1059, 2), (1060, 62), (1061, 2), (1062, 31.5), (1063, 87), (1064, 77), (1065, 216), (1066, 78.5), (1067, 7), (1068, 191.0), (1069, 2), (1070, 30.0), (1071, 1), (1072, 78), (1073, 213), (1074, 84), (1075, 163.5), (1076, 76), (1077, 2), (1078, 62), (1079, 65), (1080, 1), (1081, 24), (1082, 84), (1083, 10), (1084, 163.5), (1085, 11), (1086, 157), (1087, 175.5), (1088, 270), (1089, 58), (1090, 77), (1091, 65), (1092, 109), (1093, 211), (1094, 2), (1095, 84), (1096, 83), (1097, 2), (1098, 4), (1099, 230), (1100, 83)]
demo	[(1051, 12), (1052, 6), (1056, 12), (1057, 2), (1065, 11), (1066, 1), (1073, 11), (1099, 2)]
to	[(1051, 124.5), (1052, 26), (1053, 2), (1054, 56), (1056, 124.5), (1057, 12), (1058, 120), (1060, 42), (1061, 1), (1062, 18), (1063, 42), (1064, 74), (1065, 122), (1066, 42.5), (1067, 4), (1068, 84.0), (1070, 18), (1071, 1), (1072, 75), (1073, 125), (1074, 54.5), (1075, 52.0), (1076, 71), (1078, 42), (1079, 27), (1080, 1), (1081, 18), (1082, 54.5), (1084, 52.0), (1085, 2), (1086, 82), (1087, 59.5), (1088, 70), (1089, 44), (1090, 78), (1091, 43), (1092, 26), (1093, 112.5), (1095, 54.5), (1096, 56), (1099, 96), (1100, 50)]
ta	[(1051, 3), (1056, 3), (1058, 1), (1064, 5), (1065, 2), (1072, 5), (1073, 2), (1076, 4), (1079, 2), (1089, 2), (1090, 5), (1093, 2)]
attach	[(1051, 3), (1052, 10), (1054, 2), (1056, 3), (1057, 2), (1058, 1), (1060, 6), (1061, 6), (1062, 3), (1064, 3), (1066, 3), (1067, 11), (1068, 3), (1069, 3), (1070, 3), (1072, 2), (1074, 2), (1075, 3), (1076, 14), (1077, 6), (1078, 12), (1081, 1), (1082, 2), (1084, 3), (1086, 8), (1087, 3), (1090, 2), (1091, 2), (1092, 3), (1093, 4), (1094, 4), (1095, 2), (1096, 2), (1097, 7), (1099, 6), (1100, 2)]
3	[(1051, 8), (1052, 7), (1054, 2), (1056, 8), (1057, 12), (1058, 8), (1059, 3), (1060, 8), (1061, 6), (1062, 3), (1063, 2), (1064, 38), (1065, 3), (1068, 13), (1069, 2), (1070, 3), (1072, 33), (1073, 3), (1074, 10), (1075, 10.5), (1076, 15), (1077, 2), (1078, 11), (1079, 10), (1080, 1), (1082, 10), (1084, 11.5), (1085, 1), (1086, 19), (1087, 9.0), (1088, 2), (1089, 10), (1090, 38), (1091, 7), (1092, 14), (1093, 11), (1094, 1), (1095, 12), (1096, 6), (1097, 4), (1099, 6), (1100, 5)]
download	[(1051, 3), (1054, 2), (1056, 3), (1057, 2), (1058, 1), (1062, 10.0), (1063, 1), (1064, 2), (1066, 3), (1068, 9.5), (1070, 10.0), (1072, 2), (1074, 2), (1075, 5), (1081, 4), (1082, 2), (1084, 5), (1086, 4), (1087, 6), (1088, 2), (1090, 2), (1091, 2), (1092, 3), (1093, 4), (1095, 2), (1096, 2), (1099, 3)]
in	[(1051, 47.5), (1052, 21), (1053, 3), (1054, 26), (1055, 1), (1056, 47.5), (1057, 20), (1058, 63), (1059, 1), (1060, 28), (1061, 1), (1062, 16.0), (1063, 37), (1064, 33.5), (1065, 41), (1066, 28.5), (1067, 5), (1068, 53.0), (1069, 1), (1070, 14.5), (1072, 33.5), (1073, 46), (1074, 34), (1075, 25), (1076, 29), (1077, 1), (1078, 28), (1079, 13), (1081, 10), (1082, 34), (1083, 1), (1084, 25), (1085, 1), (1086, 44), (1087, 31), (1088, 57), (1089, 21), (1090, 33.5), (1091, 30), (1092, 34), (1093, 67), (1094, 1), (1095, 35), (1096, 33), (1097, 1), (1098, 1), (1099, 44), (1100, 32)]
other	[(1051, 3), (1052, 3), (1054, 2), (1056, 3), (1057, 3), (1058, 1), (1060, 3), (1062, 2), (1064, 6.5), (1065, 1), (1066, 2), (1068, 5), (1070, 2), (1072, 6.5), (1073, 1), (1074, 8), (1075, 6.5), (1076, 3), (1078, 3), (1079, 2), (1082, 8), (1084, 6.5), (1087, 4), (1088, 8), (1089, 4), (1090, 6.5), (1091, 8), (1092, 3), (1093, 3), (1095, 8), (1096, 8), (1099, 1), (1100, 3)]
format	[(1051, 4), (1054, 1), (1056, 4), (1057, 7), (1058, 1), (1060, 2), (1062, 2), (1063, 2), (1064, 2), (1065, 2), (1066, 3), (1068, 11), (1069, 1), (1070, 2), (1072, 2), (1073, 2), (1074, 3), (1075, 2), (1078, 2), (1082, 3), (1084, 2), (1087, 2), (1088, 8), (1090, 2), (1091, 2), (1092, 4), (1093, 3), (1095, 3), (1096, 3), (1099, 2)]
descript	[(1051, 2), (1056, 2), (1057, 2), (1058, 1), (1060, 1), (1065, 1), (1066, 2), (1068, 2), (1073, 1), (1074, 3), (1078, 1), (1082, 3), (1088, 11), (1091, 3), (1092, 1), (1093, 1), (1095, 3), (1096, 3), (1099, 3), (1100, 1)]
resourc	[(1051, 2), (1056, 2), (1060, 2), (1064, 4), (1065, 1), (1072, 4), (1073, 1), (1074, 4), (1075, 2), (1076, 2), (1078, 2), (1079, 1), (1082, 4), (1084, 2), (1086, 1), (1090, 4), (1091, 4), (1093, 4), (1095, 4), (1096, 4), (1099, 2), (1100, 2)]
